,icc,pval
wavelet-HHL_glcm_DifferenceEntropy,0.9267195311081389,0.9528931677341461
wavelet-HHL_glcm_DifferenceVariance,0.8900895900569026,0.19368016719818115
wavelet-HHL_glcm_Id,0.913923760611283,0.5780609846115112
wavelet-HHL_glcm_Idm,0.9119553419815803,0.4846055656671524
wavelet-HHL_glcm_Imc1,0.9064581224949068,0.15513363480567932
wavelet-HHL_glcm_Imc2,0.9433149466934719,0.1775200217962265
wavelet-HHL_glcm_InverseVariance,0.908130311532557,0.6109333634376526
wavelet-HHL_glcm_JointEnergy,0.9006839971768048,0.3607836216688156
wavelet-HHL_glcm_JointEntropy,0.9203523561590381,0.9153143465518951
wavelet-HHL_glcm_MaximumProbability,0.8910196538357189,0.37350593507289886
wavelet-HHL_glcm_SumEntropy,0.9249666056989861,0.9153143465518951
wavelet-HHL_glcm_SumSquares,0.8809159474178843,0.3864929676055908
wavelet-HHL_gldm_DependenceEntropy,0.870440147459377,0.0692269504070282
wavelet-HHL_gldm_DependenceNonUniformity,0.9140139602838339,0.11105082929134369
wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.9009384346843569,0.2021402269601822
wavelet-HHL_gldm_DependenceVariance,0.8643876373779932,0.12860044836997986
wavelet-HHL_gldm_GrayLevelVariance,0.8774128375513714,0.37350593507289886
wavelet-HHL_gldm_LargeDependenceEmphasis,0.8954062818838114,0.12253367900848389
wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.930351620321091,0.27924175560474396
wavelet-HHL_gldm_SmallDependenceEmphasis,0.927519273200232,0.23857179284095764
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.9244630369622188,0.19368016719818115
wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.917828241108011,0.7495975196361542
wavelet-HHL_glrlm_GrayLevelVariance,0.8782846539944549,0.31257040798664093
wavelet-HHL_glrlm_LongRunEmphasis,0.900470969373735,0.11668527126312256
wavelet-HHL_glrlm_RunEntropy,0.918730604999179,0.3361395001411438
wavelet-HHL_glrlm_RunLengthNonUniformity,0.9532438835509772,0.05847424268722534
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.9094443471732964,0.16235288977622986
wavelet-HHL_glrlm_RunPercentage,0.9068964879737725,0.15513363480567932
wavelet-HHL_glrlm_RunVariance,0.8957706779482902,0.11668527126312256
wavelet-HHL_glrlm_ShortRunEmphasis,0.9086860923814171,0.14815247058868408
wavelet-HHL_glszm_GrayLevelNonUniformity,0.9530419885600009,0.2290707677602768
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.9365976169532207,0.39974282681941986
wavelet-HHL_glszm_GrayLevelVariance,0.8683160920728206,0.09056484699249268
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.8452663859951449,0.07722577452659607
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.9739616953575994,0.8593128323554993
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.8768968006249486,0.10562613606452942
wavelet-HHL_glszm_SizeZoneNonUniformity,0.8313874103702357,0.29008127748966217
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.9331797203602662,0.4698396325111389
wavelet-HHL_glszm_SmallAreaEmphasis,0.9216568326781808,0.5303222090005875
wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.8749845452776086,0.12860044836997986
wavelet-HHL_glszm_ZoneEntropy,0.8457012824586995,0.15513363480567932
wavelet-HHL_glszm_ZonePercentage,0.9235307211837068,0.23857179284095764
wavelet-HHL_ngtdm_Busyness,0.9713396042793501,0.5303222090005875
